5,17
11,27
21,9
67,26
54,57
11,32
10,11
55,47
35,20
13,3
23,7
58,41
63,68
5,30
59,70
41,70
10,23
68,61
11,39
47,57
14,5
5,13
35,1
37,3
65,45
50,49
67,37
9,5
17,12
10,35
39,10
35,10
35,22
9,31
11,41
65,69
33,15
3,19
69,19
7,5
63,54
6,43
14,9
17,38
5,33
12,47
32,15
11,19
5,35
61,35
41,68
69,35
56,59
69,68
69,18
22,11
19,13
1,13
10,49
15,9
7,34
55,56
25,8
9,35
53,57
57,43
1,21
69,20
1,12
6,33
45,65
65,29
2,39
61,69
67,65
49,54
67,31
54,69
29,23
63,49
33,21
41,17
11,26
41,66
65,51
3,6
66,69
1,20
69,36
52,47
42,5
39,67
13,43
57,68
16,13
31,12
47,66
23,20
7,25
43,65
17,21
5,41
1,11
51,60
69,42
68,21
28,11
21,18
26,9
9,8
3,31
3,24
15,10
6,47
63,43
53,59
61,55
57,67
69,55
61,22
43,54
3,3
3,9
4,3
7,39
51,51
49,48
5,23
69,54
65,43
7,31
7,0
32,1
47,64
39,69
67,47
21,21
69,47
15,16
50,61
69,22
37,1
26,11
53,69
17,17
12,43
68,27
11,36
49,47
1,7
47,69
5,6
66,49
61,51
18,21
59,56
61,63
62,67
23,1
6,1
11,18
33,9
33,1
69,38
60,53
12,9
51,57
3,11
21,5
3,38
45,63
69,39
57,60
16,9
15,24
2,21
53,44
61,65
49,61
54,53
40,5
11,38
7,20
14,1
43,67
24,1
65,27
13,44
33,10
25,11
67,51
10,1
25,15
62,65
9,25
44,67
51,47
3,17
12,23
9,16
18,23
40,19
36,19
61,59
9,11
11,17
47,6
69,25
17,11
47,59
64,41
13,27
59,49
25,12
15,17
24,13
39,9
8,33
39,1
6,41
63,58
13,25
58,47
1,43
69,50
53,67
69,21
9,45
59,67
49,67
65,57
5,10
29,7
55,66
14,27
19,19
9,37
26,15
63,63
3,7
13,17
4,41
67,67
35,15
21,31
53,49
41,63
21,8
37,19
63,67
16,23
52,43
5,27
49,46
8,37
11,11
3,23
54,65
28,5
29,1
38,17
61,57
45,64
4,31
5,7
64,61
7,10
12,5
6,3
35,4
33,8
7,35
1,15
63,48
47,46
13,39
69,44
22,1
18,15
5,22
70,27
2,3
45,68
13,13
39,16
54,61
7,3
37,65
23,13
68,53
65,67
43,51
14,41
51,56
51,55
41,9
43,70
65,59
60,65
56,67
1,31
51,63
56,69
68,67
33,11
61,41
24,9
55,58
15,19
4,45
3,28
11,9
62,49
53,53
28,3
39,53
15,1
28,9
9,13
31,17
13,42
67,68
3,34
57,40
28,23
6,5
59,57
7,9
3,43
49,53
44,53
11,31
69,59
9,6
5,45
67,57
10,25
31,20
9,19
1,9
33,66
53,39
53,48
69,27
10,3
46,39
45,43
61,39
53,46
11,15
31,10
19,15
15,36
9,39
46,55
16,1
43,69
5,8
19,21
11,2
57,48
5,3
47,54
47,63
27,27
33,6
27,1
59,62
1,1
45,52
59,55
13,12
13,4
67,60
55,63
61,58
45,51
17,5
51,52
41,69
1,5
48,61
31,15
34,29
69,41
5,14
56,63
36,1
7,26
61,38
48,51
65,28
62,31
58,53
50,69
14,33
0,43
15,40
19,11
10,13
31,1
58,35
13,14
5,25
17,3
47,45
8,13
17,33
63,40
21,2
35,3
30,23
33,19
15,44
33,7
17,1
11,7
19,2
19,8
6,25
65,44
65,47
33,3
1,4
15,11
39,28
63,52
32,7
14,3
69,66
41,15
1,39
35,26
5,15
64,39
2,5
65,55
69,49
55,48
63,60
19,24
25,21
1,33
69,61
39,5
7,18
9,27
12,31
15,13
43,53
59,60
1,18
4,19
45,59
60,67
18,3
45,60
37,4
65,46
1,23
53,43
23,3
16,19
65,41
69,23
33,69
5,36
67,43
61,46
25,9
9,30
17,7
39,24
13,11
49,69
35,9
13,37
69,64
4,13
30,15
67,59
7,22
66,63
67,34
43,57
15,35
64,65
9,22
7,15
31,19
10,39
35,21
35,5
17,19
29,9
7,21
67,46
21,27
43,56
3,20
53,47
15,5
67,28
3,29
64,55
12,11
54,63
17,14
11,23
51,45
49,45
25,5
41,21
15,6
57,55
59,59
13,1
7,43
36,15
25,1
7,37
39,14
69,57
2,9
1,14
11,3
10,9
33,64
69,69
23,4
4,23
21,20
32,25
47,55
57,63
58,57
17,16
19,10
11,5
51,70
66,19
22,5
41,14
1,35
48,67
25,7
15,15
15,18
63,59
67,38
49,59
11,43
14,17
17,9
60,41
56,57
57,69
47,56
67,41
47,65
15,30
69,63
68,49
15,43
12,15
3,45
65,24
1,8
39,19
47,58
9,43
3,30
61,67
53,68
41,18
51,42
50,45
13,38
41,19
63,53
3,35
1,34
69,30
45,57
